Date,Open,High,Low,Close,Volume,Market Cap,,,
08 February 2018,951.57,1345.2,951.57,1284.56,"2,20,37,10,000","16,13,39,00,000",,,
09 February 2018,1273.87,1342.41,1206.39,1312.11,"1,13,37,60,000","21,60,12,00,000",,,
10 February 2018,1311.99,1394.81,1215.72,1257.31,"73,46,06,000","22,24,97,00,000",,,
11 February 2018,1255.59,1306.2,1197.87,1217.64,"65,15,55,000","21,29,56,00,000",,,
12 February 2018,1222.43,1302.66,1222.43,1283.91,"46,62,13,000","20,73,54,00,000",,,
13 February 2018,1285.23,1289.42,1205.73,1231.98,"44,26,63,000","21,80,30,00,000",,,
14 February 2018,1229.18,1384.06,1229.18,1362.27,"62,98,52,000","20,85,43,00,000",,,
15 February 2018,1358.65,1400.71,1330.18,1375.81,"50,24,54,000","23,05,33,00,000",,,
16 February 2018,1373.16,1558.66,1369.68,1552.2,"96,10,10,000","23,30,20,00,000",,,
17 February 2018,1548.48,1568.64,1517.14,1551.39,"64,17,19,000","26,28,01,00,000",,,
18 February 2018,1552.1,1641.4,1428.49,1487.46,"90,78,73,000","26,34,42,00,000",,,
19 February 2018,1483.34,1553.81,1483.34,1534.77,"57,89,06,000","25,17,97,00,000",,,
20 February 2018,1543.27,1569.03,1414.35,1418.73,"82,09,47,000","26,19,98,00,000",,,
